,tiempo_maximo,intensidad_maxima,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,sp_tau,TTP50,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
0,13.0,10.925925925925926,7.74074074074074,23.0,7.666666666666668,0.4114832535885167,8.0,9.482170904033671,32.285667362525786,4.482170904033669,11.0,0.051435406698564584,18.0,25.0,27.0,2.0
1,4.0,10.941176470588236,8.117647058823529,7.0,7.764705882352941,0.3478260869565221,2.0,3.2066130273485998,9.20816530519922,1.206613027348599,12.0,0.17391304347826106,5.0,12.0,17.0,2.0
2,3.0,7.230769230769232,6.884615384615384,4.0,6.615384615384616,0.05027932960893863,1.0,2.5061314048578907,11.242588686706018,0.5061314048578907,18.0,0.05027932960893863,2.0,12.0,26.0,1.0
3,15.0,10.363636363636363,7.454545454545454,0.0,9.636363636363637,0.3902439024390244,14.0,12.507874306439849,,11.507874306439849,2.0,0.027874564459930317,-1.0,17.0,11.0,2.0
4,24.0,10.689655172413792,7.931034482758622,26.0,8.229885057471265,0.3478260869565216,13.0,19.74092967955856,7.648054309064858,8.740929679558556,25.0,0.026755852842809357,15.0,41.0,87.0,2.0
5,4.0,8.090909090909092,7.727272727272727,5.0,7.727272727272727,0.04705882352941183,2.0,3.3448285988540265,21.74616804228092,1.3448285988540265,4.0,0.02352941176470592,3.0,8.0,11.0,2.0
6,5.0,10.944444444444445,10.277777777777779,6.0,10.888888888888893,0.0648648648648648,4.0,3.6859098583947767,196.49957591105647,2.6859098583947767,12.0,0.0162162162162162,5.0,8.0,18.0,2.0
7,4.0,11.857142857142856,8.785714285714286,6.0,8.214285714285714,0.3495934959349591,1.0,3.5373359156584416,5.44876490948688,0.5373359156584421,3.0,0.3495934959349591,3.0,17.0,14.0,2.0
8,8.0,10.35,7.400000000000001,18.0,8.2,0.3986486486486484,6.0,5.748728232807957,59.879542783626405,3.7487282328079576,8.0,0.06644144144144139,16.0,22.0,20.0,2.0
9,7.0,7.400000000000001,6.8,6.0,6.8,0.08823529411764727,1.0,6.510566526142937,,0.5105665261429371,4.0,0.08823529411764727,0.0,9.0,10.0,2.0
10,2.0,9.166666666666666,7.916666666666668,12.0,6.333333333333332,0.15789473684210514,2.0,0.9148305230903384,30.46286174788501,0.9148305230903384,7.0,0.07894736842105257,12.0,18.0,12.0,2.0
11,2.0,10.666666666666666,8.0,4.0,7.466666666666666,0.3333333333333333,1.0,1.5358369345489766,5.607346504114251,0.5358369345489766,1.0,0.3333333333333333,3.0,12.0,15.0,2.0
12,1.0,10.800000000000002,9.866666666666667,4.0,7.866666666666666,0.0945945945945948,1.0,0.511294164086174,10.884562236823573,0.511294164086174,8.0,0.0945945945945948,4.0,9.0,15.0,2.0
13,1.0,9.142857142857142,8.0,3.0,7.2857142857142865,0.1428571428571428,1.0,0.5166790380218179,8.808343414425092,0.5166790380218179,2.0,0.1428571428571428,3.0,7.0,7.0,2.0
14,18.0,10.823529411764703,6.411764705882352,20.0,9.411764705882351,0.6880733944954128,9.0,17.07294291953253,14.310047256151224,8.07294291953253,10.0,0.0764525993883792,11.0,21.0,17.0,2.0
15,6.0,8.625,6.75,1.0,7.375,0.2777777777777778,1.0,5.530563903821073,,0.5305639038210721,6.0,0.2777777777777778,-4.0,8.0,8.0,2.0
