tiempo_maximo,intensidad_maxima,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,TTP50,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
13.0,10.925925925925926,7.74074074074074,23.0,7.666666666666668,0.4114832535885167,8.0,9.482170904033673,4.482170904033669,11.0,0.0514354066985645,18.0,25.0,27.0,2.0
4.0,10.941176470588236,8.117647058823529,7.0,7.764705882352941,0.3478260869565221,2.0,3.2066130273486,1.206613027348599,12.0,0.173913043478261,5.0,12.0,17.0,2.0
3.0,7.230769230769232,6.884615384615384,4.0,6.615384615384616,0.0502793296089386,1.0,2.5061314048578907,0.5061314048578907,18.0,0.0502793296089386,2.0,12.0,26.0,1.0
15.0,10.363636363636363,7.454545454545454,0.0,9.636363636363637,0.3902439024390244,14.0,12.507874306439849,11.507874306439849,2.0,0.0278745644599303,-1.0,17.0,11.0,2.0
24.0,10.689655172413792,7.931034482758622,26.0,8.229885057471265,0.3478260869565216,13.0,19.74092967955856,8.740929679558556,25.0,0.0267558528428093,15.0,41.0,87.0,2.0
4.0,8.090909090909092,7.727272727272727,5.0,7.727272727272727,0.0470588235294118,2.0,3.3448285988540265,1.3448285988540265,4.0,0.0235294117647059,3.0,8.0,11.0,2.0
5.0,10.944444444444445,10.27777777777778,6.0,10.888888888888893,0.0648648648648648,4.0,3.6859098583947767,2.6859098583947767,12.0,0.0162162162162162,5.0,8.0,18.0,2.0
4.0,11.857142857142856,8.785714285714286,6.0,8.214285714285714,0.3495934959349591,1.0,3.5373359156584416,0.5373359156584421,3.0,0.3495934959349591,3.0,17.0,14.0,2.0
8.0,10.35,7.400000000000001,18.0,8.2,0.3986486486486484,6.0,5.748728232807957,3.7487282328079576,8.0,0.0664414414414413,16.0,22.0,20.0,2.0
7.0,7.400000000000001,6.8,6.0,6.8,0.0882352941176472,1.0,6.510566526142937,0.5105665261429371,4.0,0.0882352941176472,0.0,9.0,10.0,2.0
2.0,9.166666666666666,7.916666666666668,12.0,6.333333333333332,0.1578947368421051,2.0,0.9148305230903384,0.9148305230903384,7.0,0.0789473684210525,12.0,18.0,12.0,2.0
2.0,10.666666666666666,8.0,4.0,7.466666666666666,0.3333333333333333,1.0,1.5358369345489766,0.5358369345489766,1.0,0.3333333333333333,3.0,12.0,15.0,2.0
1.0,10.800000000000002,9.866666666666667,4.0,7.866666666666666,0.0945945945945948,1.0,0.511294164086174,0.511294164086174,8.0,0.0945945945945948,4.0,9.0,15.0,2.0
1.0,9.142857142857142,8.0,3.0,7.2857142857142865,0.1428571428571428,1.0,0.5166790380218179,0.5166790380218179,2.0,0.1428571428571428,3.0,7.0,7.0,2.0
18.0,10.823529411764705,6.411764705882352,20.0,9.411764705882351,0.6880733944954128,9.0,17.07294291953253,8.07294291953253,10.0,0.0764525993883792,11.0,21.0,17.0,2.0
6.0,8.625,6.75,1.0,7.375,0.2777777777777778,1.0,5.530563903821073,0.5305639038210721,6.0,0.2777777777777778,-4.0,8.0,8.0,2.0
16.0,11.866666666666667,9.266666666666667,17.0,9.466666666666669,0.2805755395683452,5.0,12.981815788543017,1.9818157885430168,10.0,0.056115107913669,6.0,19.0,15.0,2.0
1.0,12.0,10.823529411764705,6.0,10.294117647058824,0.1086956521739131,1.0,0.5128923117063643,0.5128923117063643,5.0,0.1086956521739131,6.0,9.0,17.0,2.0
12.0,9.842105263157896,8.368421052631579,13.0,9.31578947368421,0.1761006289308177,8.0,8.887484541340767,4.887484541340765,12.0,0.0220125786163522,9.0,14.0,19.0,2.0
5.0,10.785714285714288,6.928571428571428,10.0,7.7857142857142865,0.5567010309278353,3.0,3.8910528690482655,1.8910528690482655,4.0,0.1855670103092784,8.0,12.0,14.0,2.0
8.0,11.307692307692308,8.615384615384615,9.0,8.692307692307693,0.3125000000000001,3.0,6.666162522204272,1.6661625222042709,7.0,0.1041666666666667,4.0,13.0,13.0,2.0
7.0,12.461538461538463,9.384615384615383,8.0,9.461538461538463,0.3278688524590164,4.0,5.572768183324062,2.5727681833240608,2.0,0.081967213114754,5.0,19.0,13.0,2.0
3.0,10.800000000000002,8.9,6.0,7.8,0.213483146067416,2.0,1.8782846530462387,0.8782846530462387,-3.0,0.106741573033708,5.0,10.0,10.0,2.0
7.0,13.4,7.0,13.0,8.333333333333334,0.9142857142857144,5.0,4.355570226854091,2.3555702268540912,5.0,0.1828571428571428,11.0,18.0,15.0,2.0
8.0,10.3125,7.6875,22.0,7.125,0.3414634146341464,5.0,5.756732337810313,2.756732337810312,7.0,0.0682926829268292,19.0,25.0,16.0,2.0
6.0,12.142857142857144,9.761904761904765,7.0,9.095238095238097,0.2439024390243903,2.0,4.757271060177835,0.7572710601778354,6.0,0.1219512195121951,3.0,16.0,21.0,1.0
5.0,7.5,7.8181818181818175,7.0,6.7727272727272725,-0.0406976744186045,2.0,3.06194144513198,0.0619414451319797,-2.0,-0.0203488372093022,4.0,14.0,22.0,2.0
2.0,11.769230769230768,9.846153846153848,5.0,9.384615384615383,0.1953124999999998,2.0,0.9637894868122932,0.9637894868122932,4.0,0.0976562499999999,5.0,8.0,13.0,1.0
2.0,11.909090909090908,9.727272727272728,5.0,10.0,0.2242990654205607,1.0,1.525253014003511,0.525253014003511,2.0,0.2242990654205607,4.0,7.0,11.0,1.0
24.0,10.104166666666666,7.927083333333332,25.0,9.3125,0.2746386333771353,6.0,21.22202211068889,3.222022110688893,9.0,0.0457731055628558,7.0,28.0,96.0,1.0
6.0,11.5,10.15,11.0,9.4,0.1330049261083743,4.0,3.4077009321735328,1.4077009321735328,8.0,0.0332512315270935,9.0,13.0,20.0,1.0
3.0,11.272727272727272,8.636363636363637,9.0,7.272727272727272,0.3052631578947368,1.0,2.533202573066033,0.533202573066033,3.0,0.3052631578947368,7.0,12.0,11.0,1.0
29.0,10.339285714285714,7.8392857142857135,30.0,9.607142857142858,0.3189066059225512,21.0,21.5935456501613,13.5935456501613,13.0,0.0151860288534548,22.0,34.0,56.0,1.0
7.0,37.75,31.41666666666667,11.0,33.25,0.2015915119363394,3.0,6.092826958203339,2.0928269582033403,6.0,0.0671971706454464,7.0,14.0,12.0,1.0
7.0,52.9375,48.5625,8.0,43.375,0.09009009009009,1.0,6.510779201724062,0.5107792017240627,6.0,0.09009009009009,2.0,12.0,16.0,1.0
3.0,7.1764705882352935,6.5294117647058805,9.0,5.941176470588236,0.0990990990990993,1.0,2.5118069639614684,0.511806963961468,-3.0,0.0990990990990993,7.0,13.0,17.0,1.0
11.0,49.94736842105264,43.31578947368421,12.0,49.52631578947368,0.1530984204131226,5.0,7.654884967039763,1.6548849670397618,9.0,0.0306196840826245,6.0,13.0,19.0,1.0
2.0,39.41176470588236,35.941176470588225,4.0,32.529411764705884,0.0965630114566286,2.0,1.2506178582593657,1.2506178582593657,12.0,0.0482815057283143,4.0,9.0,17.0,1.0
