Index,Flag
153,2.0
163,1.0
178,2.0
253,1.0
457,1.0
527,2.0
739,1.0
910,1.0
930,1.0
934,2.0
1042,1.0
1122,1.0
1185,1.0
1226,2.0
1332,2.0
1450,2.0
1452,1.0
1482,1.0
1499,1.0
1534,2.0
1543,2.0
1558,2.0
1600,1.0
1771,1.0
1821,1.0
1994,1.0
2037,1.0
2046,2.0
2107,2.0
2119,2.0
2142,1.0
2158,1.0
2197,2.0
2244,2.0
